row_id,time,x,y,direction,congestion
0,1991-04-01 00:00:00,0,0,EB,70
1,1991-04-01 00:00:00,0,0,NB,49
2,1991-04-01 00:00:00,0,0,SB,24
3,1991-04-01 00:00:00,0,1,EB,18
4,1991-04-01 00:00:00,0,1,NB,60
5,1991-04-01 00:00:00,0,1,SB,58
6,1991-04-01 00:00:00,0,1,WB,26
7,1991-04-01 00:00:00,0,2,EB,31
8,1991-04-01 00:00:00,0,2,NB,49
9,1991-04-01 00:00:00,0,2,SB,46
10,1991-04-01 00:00:00,0,2,WB,29
11,1991-04-01 00:00:00,0,3,EB,18
12,1991-04-01 00:00:00,0,3,NB,16
13,1991-04-01 00:00:00,0,3,NE,21
14,1991-04-01 00:00:00,0,3,SB,49
15,1991-04-01 00:00:00,0,3,SW,47
16,1991-04-01 00:00:00,0,3,WB,51
17,1991-04-01 00:00:00,1,0,EB,74
18,1991-04-01 00:00:00,1,0,NB,74
19,1991-04-01 00:00:00,1,0,NE,43
20,1991-04-01 00:00:00,1,0,SB,44
21,1991-04-01 00:00:00,1,0,SW,52
22,1991-04-01 00:00:00,1,0,WB,32
23,1991-04-01 00:00:00,1,1,EB,44
24,1991-04-01 00:00:00,1,1,NB,77
25,1991-04-01 00:00:00,1,1,SB,39
26,1991-04-01 00:00:00,1,1,WB,63
27,1991-04-01 00:00:00,1,2,EB,53
28,1991-04-01 00:00:00,1,2,NB,28
29,1991-04-01 00:00:00,1,2,NE,24
30,1991-04-01 00:00:00,1,2,SB,29
31,1991-04-01 00:00:00,1,2,SW,54
32,1991-04-01 00:00:00,1,2,WB,46
33,1991-04-01 00:00:00,1,3,EB,41
34,1991-04-01 00:00:00,1,3,NB,44
35,1991-04-01 00:00:00,1,3,NE,44
36,1991-04-01 00:00:00,1,3,SB,37
37,1991-04-01 00:00:00,1,3,SW,15
38,1991-04-01 00:00:00,1,3,WB,46
39,1991-04-01 00:00:00,2,0,EB,44
40,1991-04-01 00:00:00,2,0,NB,39
41,1991-04-01 00:00:00,2,0,SB,26
42,1991-04-01 00:00:00,2,0,WB,61
43,1991-04-01 00:00:00,2,1,EB,65
44,1991-04-01 00:00:00,2,1,NB,26
45,1991-04-01 00:00:00,2,1,NE,16
46,1991-04-01 00:00:00,2,1,NW,29
47,1991-04-01 00:00:00,2,1,SB,22
48,1991-04-01 00:00:00,2,1,SE,34
49,1991-04-01 00:00:00,2,1,SW,45
50,1991-04-01 00:00:00,2,1,WB,37
51,1991-04-01 00:00:00,2,2,EB,42
52,1991-04-01 00:00:00,2,2,NB,50
53,1991-04-01 00:00:00,2,2,NE,26
54,1991-04-01 00:00:00,2,2,NW,21
55,1991-04-01 00:00:00,2,2,SB,36
56,1991-04-01 00:00:00,2,2,SE,51
57,1991-04-01 00:00:00,2,2,SW,47
58,1991-04-01 00:00:00,2,2,WB,51
59,1991-04-01 00:00:00,2,3,EB,39
60,1991-04-01 00:00:00,2,3,NB,64
61,1991-04-01 00:00:00,2,3,NE,30
62,1991-04-01 00:00:00,2,3,SB,70
63,1991-04-01 00:00:00,2,3,SW,29
64,1991-04-01 00:00:00,2,3,WB,26
65,1991-04-01 00:20:00,0,0,EB,70
66,1991-04-01 00:20:00,0,0,NB,49
67,1991-04-01 00:20:00,0,0,SB,24
68,1991-04-01 00:20:00,0,1,EB,26
69,1991-04-01 00:20:00,0,1,NB,64
70,1991-04-01 00:20:00,0,1,SB,55
71,1991-04-01 00:20:00,0,1,WB,57
72,1991-04-01 00:20:00,0,2,EB,41
73,1991-04-01 00:20:00,0,2,NB,40
74,1991-04-01 00:20:00,0,2,SB,46
75,1991-04-01 00:20:00,0,2,WB,32
76,1991-04-01 00:20:00,0,3,EB,24
77,1991-04-01 00:20:00,0,3,NB,33
78,1991-04-01 00:20:00,0,3,NE,17
79,1991-04-01 00:20:00,0,3,SB,52
80,1991-04-01 00:20:00,0,3,SW,48
81,1991-04-01 00:20:00,0,3,WB,51
82,1991-04-01 00:20:00,1,0,EB,71
83,1991-04-01 00:20:00,1,0,NB,32
84,1991-04-01 00:20:00,1,0,NE,43
85,1991-04-01 00:20:00,1,0,SB,43
86,1991-04-01 00:20:00,1,0,SW,52
87,1991-04-01 00:20:00,1,0,WB,32
88,1991-04-01 00:20:00,1,1,EB,61
89,1991-04-01 00:20:00,1,1,NB,30
90,1991-04-01 00:20:00,1,1,SB,44
91,1991-04-01 00:20:00,1,1,WB,50
92,1991-04-01 00:20:00,1,2,EB,41
93,1991-04-01 00:20:00,1,2,NB,37
94,1991-04-01 00:20:00,1,2,NE,24
95,1991-04-01 00:20:00,1,2,SB,39
96,1991-04-01 00:20:00,1,2,SW,54
97,1991-04-01 00:20:00,1,2,WB,37
98,1991-04-01 00:20:00,1,3,EB,16
99,1991-04-01 00:20:00,1,3,NB,47
100,1991-04-01 00:20:00,1,3,NE,44
101,1991-04-01 00:20:00,1,3,SB,41
102,1991-04-01 00:20:00,1,3,SW,15
103,1991-04-01 00:20:00,1,3,WB,47
104,1991-04-01 00:20:00,2,0,EB,44
105,1991-04-01 00:20:00,2,0,NB,69
106,1991-04-01 00:20:00,2,0,SB,61
107,1991-04-01 00:20:00,2,0,WB,65
108,1991-04-01 00:20:00,2,1,EB,45
109,1991-04-01 00:20:00,2,1,NB,47
110,1991-04-01 00:20:00,2,1,NE,16
111,1991-04-01 00:20:00,2,1,NW,29
112,1991-04-01 00:20:00,2,1,SB,17
113,1991-04-01 00:20:00,2,1,SE,34
114,1991-04-01 00:20:00,2,1,SW,52
115,1991-04-01 00:20:00,2,1,WB,37
116,1991-04-01 00:20:00,2,2,EB,36
117,1991-04-01 00:20:00,2,2,NB,46
118,1991-04-01 00:20:00,2,2,NE,17
119,1991-04-01 00:20:00,2,2,NW,21
120,1991-04-01 00:20:00,2,2,SB,10
121,1991-04-01 00:20:00,2,2,SE,51
122,1991-04-01 00:20:00,2,2,SW,50
123,1991-04-01 00:20:00,2,2,WB,58
124,1991-04-01 00:20:00,2,3,EB,33
125,1991-04-01 00:20:00,2,3,NB,67
126,1991-04-01 00:20:00,2,3,NE,30
127,1991-04-01 00:20:00,2,3,SB,80
128,1991-04-01 00:20:00,2,3,SW,29
129,1991-04-01 00:20:00,2,3,WB,57
130,1991-04-01 00:40:00,0,0,EB,70
131,1991-04-01 00:40:00,0,0,NB,49
132,1991-04-01 00:40:00,0,0,SB,24
133,1991-04-01 00:40:00,0,1,EB,31
134,1991-04-01 00:40:00,0,1,NB,51
135,1991-04-01 00:40:00,0,1,SB,57
136,1991-04-01 00:40:00,0,1,WB,91
137,1991-04-01 00:40:00,0,2,EB,42
138,1991-04-01 00:40:00,0,2,NB,41
