purchase_date,store_location,product_category,price,customer_age,customer_rating
2024-02-25,CHICAGO,Computers,$832.45,41.0,5.0
2024-06-06,Austin,Audio,122.24,43.0,3.0
2024-02-04,CHICAGO,Accessories,$18.23,33.0,2.0
2024-06-09,new york,Accessories,$10.30,82.0,4.0
2024-05-04,New York,Mobile,$518.33,56.0,1.0
2024-06-08,CHICAGO,Audio,$101.82,39.0,4.0
2024-05-30,Chicago,Computers,$713.30,39.0,5.0
2024-05-16,new york,Mobile,732.23,30.0,3.0
2024-05-18,new york,Mobile,"$1,267.97",21.0,2.0
2024-02-12,Chicago,Accessories,$46.82,53.0,3.0
2024-05-09,CHICAGO,Mobile,$906.74,45.0,N/A
2024-03-26,New York,Accessories,$57.44,62.0,1.0
2024-06-24,austin,Accessories,$23.64,38.0,3.0
2024-02-22,new york,Mobile,$457.72,26.0,2.0
2024-01-05,new york,Audio,$111.80,58.0,4.0
2024-01-27,Chicago,Audio,$130.53,22.0,3.0
2024-03-23,CHICAGO,Audio,$99.92,36.0,4.0
2024-03-17,Chicago,Computers,951.41,28.0,5.0
2024-01-16,Seattle,Accessories,$128.82,54.0,missing
2024-05-11, Chicago,Audio,$75.15,49.0,missing
2024-06-02,austin,Computers,$557.15,35.0,3.0
2024-05-29, Austin ,Audio,$113.52,40.0,5.0
2024-05-28,New York,Mobile,$757.86,27.0,3.0
2024-03-16, Chicago,Audio,$142.74,52.0,4.0
2024-05-18,Chicago,Computers,"$1,204.99",26.0,3.0
2024-02-23,CHICAGO,Mobile,$518.25,65.0,4.0
2024-01-03,Seattle,Computers,$969.99,61.0,4.0
2024-05-01, Chicago,Accessories,$128.01,55.0,4.0
2024-01-12,new york,Mobile,$662.58,18.0,5.0
2024-02-05, Chicago,Computers,$939.44,27.0,N/A
2024-01-15,austin,Audio,$105.33,39.0,4.0
2024-01-27,Seattle,Computers,$685.52,29.0,2.0
2024-04-20, Chicago,Audio,$95.52,53.0,1.0
2024-01-23,CHICAGO,Computers,$393.70,23.0,4.0
2024-06-14,new york,Accessories,$24.08,36.0,missing
2024-03-21,Austin,Mobile,$234.20,18.0,missing
2024-03-31,new york,Audio,$103.27,42.0,5.0
2024-05-03,austin,Computers,1431.45,36.0,4.0
2024-05-03,Seattle,Accessories,$76.64,60.0,4.0
2024-06-24,New York,Audio,$158.25,64.0,4.0
2024-02-19,CHICAGO,Accessories,$99.17,38.0,1.0
2024-06-01,new york,Accessories,$24.44,22.0,missing
2024-06-18, Austin ,Accessories,$23.52,39.0,4.0
2024-04-02,Austin,Mobile,$465.03,18.0,5.0
2024-06-27,austin,Accessories,$48.27,18.0,5.0
2024-01-17,austin,Mobile,$845.05,21.0,1.0
2024-04-18,Seattle,Audio,$129.87,54.0,4.0
2024-02-09, Chicago,Audio,$89.27,47.0,4.0
2024-04-23,new york,Computers,1554.19,18.0,5.0
2024-01-11, Chicago,Accessories,$101.36,35.0,N/A
2024-03-07, Austin ,Mobile,"$1,398.90",18.0,2.0
2024-04-02,Austin,Mobile,$396.49,20.0,1.0
2024-01-28,Austin,Accessories,$125.08,31.0,3.0
2024-02-04,New York,Computers,"$1,309.67",38.0,4.0
2024-06-01,Seattle,Computers,1157.11,18.0,1.0
2024-06-16, Austin ,Audio,$115.36,39.0,4.0
2024-01-21,new york,Accessories,$29.41,67.0,5.0
2024-02-10,New York,Accessories,$31.28,18.0,4.0
2024-05-18,Chicago,Computers,"$1,458.70",41.0,2.0
2024-03-06,austin,Computers,"$1,119.96",29.0,3.0
2024-05-01,austin,Accessories,$34.75,36.0,3.0
2024-03-18,Austin,Mobile,$248.48,27.0,5.0
2024-03-08,New York,Accessories,$16.52,32.0,2.0
2024-01-03, Chicago,Mobile,$513.37,33.0,1.0
2024-03-01, Austin ,Mobile,$342.47,18.0,3.0
2024-04-13,CHICAGO,Computers,"$2,054.29",18.0,3.0
2024-05-21,Chicago,Accessories,43.24,18.0,N/A
2024-02-09,CHICAGO,Computers,"$1,619.73",31.0,5.0
2024-01-29, Austin ,Computers,"$1,197.44",41.0,1.0
2024-02-02, Austin ,Computers,"$1,284.75",18.0,missing
2024-04-16,Chicago,Mobile,$458.89,18.0,3.0
2024-02-27, Chicago,Audio,$85.86,41.0,2.0
2024-01-15, Chicago,Accessories,221.85,38.0,5.0
2024-03-13,Austin,Accessories,$30.61,999,4.0
2024-01-04,new york,Accessories,$134.60,57.0,5.0
2024-03-05, Chicago,Accessories,$154.56,18.0,4.0
2024-02-13, Austin ,Computers,"$2,191.76",18.0,4.0
2024-02-26, Austin ,Accessories,227.65,20.0,2.0
2024-06-12,New York,Accessories,$34.67,30.0,5.0
2024-05-18,Chicago,Computers,$969.09,18.0,3.0
2024-02-06,austin,Audio,$116.97,37.0,4.0
2024-05-16,Seattle,Computers,"$1,592.48",62.0,5.0
2024-03-02,new york,Accessories,$158.70,18.0,4.0
2024-05-12, Chicago,Accessories,$25.53,43.0,3.0
2024-03-02,Seattle,Computers,$987.92,40.0,5.0
2024-02-03,Chicago,Accessories,$24.21,18.0,2.0
2024-05-18, Chicago,Computers,"$1,655.43",41.0,5.0
2024-04-26, Chicago,Audio,115.50,43.0,4.0
2024-03-10,austin,Computers,"$1,235.51",34.0,4.0
2024-05-10,Chicago,Accessories,$90.88,39.0,4.0
2024-05-30,New York,Accessories,$52.86,59.0,4.0
2024-01-02,austin,Mobile,$398.94,47.0,1.0
2024-02-20,austin,Mobile,$711.36,-5,4.0
2024-05-31,Chicago,Accessories,$53.90,51.0,3.0
2024-01-25,new york,Audio,$108.10,53.0,4.0
2024-01-03,CHICAGO,Mobile,$717.09,33.0,5.0
2024-05-22,new york,Audio,$124.03,51.0,3.0
2024-05-05,new york,Computers,$919.47,18.0,3.0
2024-03-22,austin,Computers,$685.13,42.0,4.0
2024-02-06,new york,Mobile,$207.50,40.0,2.0
2024-05-21,Chicago,Accessories,$9.89,23.0,missing
2024-01-06,new york,Computers,"$1,195.82",25.0,4.0
2024-02-08,Seattle,Audio,$90.65,46.0,4.0
2024-06-11, Austin ,Computers,"$1,054.25",18.0,5.0
